city,file,topic_score,pro_max,contra_max,neutral_max,favorability,label
Toulouse Métropole,me12_projet_caserne_niel-a4-bd.pdf,0.44267842173576355,0.5035343170166016,0.5165067315101624,0.4069088399410248,0.3367447939155106,unfavorable
Toulouse Métropole,calendrier_collecte_gratuite_automne_2025.pdf,0.2692713439464569,0.17317818105220795,0.18664249777793884,0.25063347816467285,0.33608592035690066,unfavorable
Toulouse Métropole,20220524_note_enjeux_plui-h_tm.pdf,0.5662031173706055,0.6093209981918335,0.6229171752929688,0.4751339256763458,0.33590940950273795,unfavorable
Toulouse Métropole,brochure_monoxyde_de_carbone.pdf,0.49908557534217834,0.5740419626235962,0.597515344619751,0.36815041303634644,0.3228204223773479,unfavorable
Toulouse Métropole,enquetes_sport2023.pdf,0.2050163894891739,0.2550632655620575,0.28070682287216187,0.3268728256225586,0.3199805160870724,unfavorable
Toulouse Métropole,eval_politique_cyclable_juin2019.pdf,0.42387473583221436,0.4914599657058716,0.5191125869750977,0.4551979601383209,0.3173632779002076,unfavorable
Toulouse Métropole,guide_fiches_territoriales_v3_1.pdf,0.5914039611816406,0.5428768992424011,0.570956289768219,0.5478385090827942,0.3168087959616839,unfavorable
Toulouse Métropole,memo_tri.pdf,0.4114462733268738,0.34747058153152466,0.37623685598373413,0.35470375418663025,0.3159174511842128,unfavorable
Toulouse Métropole,bilan_consultation_2021_1.pdf,0.5223608016967773,0.6395459771156311,0.6747956275939941,0.6137435436248779,0.3075713935612645,unfavorable
Toulouse Métropole,risques_majeurs_plan_familial_mise_en_surete.pdf,0.44896718859672546,0.4917529225349426,0.5303267240524292,0.4354591369628906,0.3033400822347025,unfavorable
Toulouse Métropole,organigramme_general_ccas_2025.pdf,0.23296886682510376,0.26067107915878296,0.3022952675819397,0.41548222303390503,0.2994863249448335,unfavorable
Toulouse Métropole,decret_2016_1106_instances_concertation_11_08_2016.pdf,0.45370346307754517,0.44781923294067383,0.4896088242530823,0.5726103782653809,0.2992781629181719,unfavorable
Toulouse Métropole,spaser_2021_2026.pdf,0.5237975120544434,0.5876883268356323,0.6298800706863403,0.5187573432922363,0.2987723938717062,unfavorable
Toulouse Métropole,cahier_1_pluih_bd_pap.pdf,0.5264890193939209,0.5784704685211182,0.6223407983779907,0.47675472497940063,0.2966666217228235,unfavorable
Toulouse Métropole,eval_stationnement.pdf,0.4302431344985962,0.41610753536224365,0.46021682024002075,0.40707457065582275,0.2963675532304193,unfavorable
Toulouse Métropole,bilan_concertation_2019_1.pdf,0.5508127212524414,0.5531662702560425,0.5972975492477417,0.5829024314880371,0.29634003486950455,unfavorable
Toulouse Métropole,2024_bilan_chiffres_de_population_1.pdf,0.32922208309173584,0.29026639461517334,0.3345501124858856,0.26485151052474976,0.2961493486773397,unfavorable
Toulouse Métropole,donnees_essentielles_2022_vt_vf_2.pdf,0.3543187379837036,0.2914782166481018,0.33977919816970825,0.4558371901512146,0.2911498867276094,unfavorable
Toulouse Métropole,pluih_tm_pac.pdf,0.5496727824211121,0.6406812071800232,0.6903954148292542,0.5596986413002014,0.28940300729632357,unfavorable
Toulouse Métropole,les_activites_de_mon_quartier_2025-2026_sept25.pdf,0.3448943495750427,0.31008613109588623,0.3598490357398987,0.4640766978263855,0.2893429240914216,unfavorable
Toulouse Métropole,livret_information_risques_majeurs_2016.pdf,0.4396222233772278,0.5036289691925049,0.5544158220291138,0.5264067649841309,0.2880812734435745,unfavorable
Toulouse Métropole,calendrier_operations_broyage_automne_2025_v3.pdf,0.29987797141075134,0.3303763270378113,0.38156723976135254,0.3275096118450165,0.28758431605504514,unfavorable
Toulouse Métropole,20230418_tm_deliberation_del_publication_internet.pdf,0.4882718622684479,0.5210661888122559,0.5750061273574829,0.512010395526886,0.2842168751347393,unfavorable
Toulouse Métropole,20221213_TM_DELIBERATION_DEL-22-1271.pdf,0.6039164066314697,0.5528109073638916,0.6078810095787048,0.5462557673454285,0.28283938898131356,unfavorable
Toulouse Métropole,organigramme_general_mairie_metropole_toulouse_2024-03-22.pdf,0.5566925406455994,0.3975347578525543,0.45496976375579834,0.4918755292892456,0.27997007817886915,unfavorable
Toulouse Métropole,202403-cr-rp_v4_def.pdf,0.48454946279525757,0.5466710925102234,0.6055377721786499,0.49566155672073364,0.27824171604028136,unfavorable
Toulouse Métropole,2021_lesusagesdesdemarches.pdf,0.3686552047729492,0.5143982768058777,0.5736557245254517,0.5362578630447388,0.27777110904972363,unfavorable
Toulouse Métropole,me11_teleservices-a4_bd.pdf,0.3686552047729492,0.5143982768058777,0.5736557245254517,0.5362578630447388,0.27777110904972363,unfavorable
Toulouse Métropole,note_enjeux_vnf_pluih_tm_vfinale.pdf,0.5146880745887756,0.5546358227729797,0.6141817569732666,0.5583057403564453,0.2774239955421431,unfavorable
Toulouse Métropole,2023_laccompagnementdesentreprises.pdf,0.5291700959205627,0.5114080309867859,0.5717549324035645,0.4373229742050171,0.27646165581164345,unfavorable
Toulouse Métropole,panneau-concertation-1.pdf,0.3718545734882355,0.41895779967308044,0.47999459505081177,0.41421520709991455,0.2756344229831542,unfavorable
Toulouse Métropole,plan_d_actions_avec_logos.pdf,0.40186572074890137,0.4921201467514038,0.5546389818191528,0.552547812461853,0.2738625447062479,unfavorable
Toulouse Métropole,charte_maitrise_infrastructures.pdf,0.43509817123413086,0.5872440338134766,0.6502516865730286,0.6662396192550659,0.2732796885506537,unfavorable
Toulouse Métropole,dicrim.pdf,0.42386478185653687,0.47049373388290405,0.5340321063995361,0.5770668387413025,0.272647746338458,unfavorable
Toulouse Métropole,eval_piscines_mars2019.pdf,0.3747822642326355,0.4814804792404175,0.546242356300354,0.4671787917613983,0.2711943724350226,unfavorable
Toulouse Métropole,2023_derogations_zfe-m_v4.pdf,0.3647606670856476,0.3783252239227295,0.45032262802124023,0.40161365270614624,0.2626995629829245,unfavorable
Toulouse Métropole,deliberations_du_conseil_dadministration_13_decembre2024.pdf,0.32798123359680176,0.3981315493583679,0.47434282302856445,0.5402683019638062,0.2578319580129935,unfavorable
Toulouse Métropole,2020_insertionetlemploi.pdf,0.3225245475769043,0.36892640590667725,0.44745320081710815,0.44587045907974243,0.25518240059884456,unfavorable
Toulouse Métropole,guide_a5_violences_lgbt_v6_bd_pap.pdf,0.25913429260253906,0.3728353977203369,0.4535904824733734,0.44714850187301636,0.2526496178280141,unfavorable
Toulouse Métropole,20230629_TM_DELIBERATION_DEL-23-0442.pdf,0.5443366765975952,0.5289703607559204,0.6104478240013123,0.46856218576431274,0.25183210809052603,unfavorable
Toulouse Métropole,2022_1004_pluih2_result_enquetevf.pdf,0.4849157929420471,0.49597299098968506,0.5814909934997559,0.485164999961853,0.247291912644595,unfavorable
Toulouse Métropole,eval_loisirs.pdf,0.37130457162857056,0.42738980054855347,0.5140783190727234,0.4498569369316101,0.24598696458978547,unfavorable
Toulouse Métropole,charte_participation_citoyenne.pdf,0.4943069815635681,0.49724793434143066,0.5851017236709595,0.5546982288360596,0.24469248057903176,unfavorable
Toulouse Métropole,recueiltarifs_sept2025.pdf,0.36519044637680054,0.5193371176719666,0.6117991209030151,0.576390266418457,0.23961853395343208,unfavorable
Toulouse Métropole,del-24-0319_arr_t_du_plui-h_retour_pr_fecture.pdf,0.46583133935928345,0.4991506338119507,0.5931661128997803,0.5365062952041626,0.23792438416830836,unfavorable
Toulouse Métropole,2022_0220_pluih2_avis_concert.pdf,0.35674992203712463,0.3421725332736969,0.4380062222480774,0.39785128831863403,0.23595201551536463,unfavorable
Toulouse Métropole,flyer_risques_majeurs.pdf,0.3741394281387329,0.39674368500709534,0.4930282235145569,0.46758192777633667,0.23546469259211436,unfavorable
Toulouse Métropole,le_contrat_local_de_sante_de_toulouse.pdf,0.4071430563926697,0.5001994371414185,0.596545934677124,0.5296199321746826,0.2353977755898581,unfavorable
Toulouse Métropole,20220524_annexe_note_enjeux_plui-h_tm.pdf,0.520805299282074,0.5890693664550781,0.6870938539505005,0.5102859735488892,0.23359052057084873,unfavorable
Toulouse Métropole,20220215_deliberation_del-22-0089_2.pdf,0.5319797992706299,0.5790688395500183,0.6771296262741089,0.515799880027771,0.23355153180130606,unfavorable
Toulouse Métropole,eval_politique_seniors.pdf,0.24707269668579102,0.3518980145454407,0.4531037211418152,0.38008731603622437,0.2301907861984721,unfavorable
Toulouse Métropole,1.pdf,0.3623048663139343,0.41813158988952637,0.5196343660354614,0.6064803600311279,0.22987508843387017,unfavorable
Toulouse Métropole,charte-maitrise-ouvrage-oeuvre-batiments-publics.pdf,0.46341508626937866,0.47452312707901,0.5769474506378174,0.6326559782028198,0.2288976875355699,unfavorable
Toulouse Métropole,nouveau_ri_faj_1_06_2024.pdf,0.32295888662338257,0.490028977394104,0.5925501585006714,0.5791786909103394,0.22879512949834763,unfavorable
Toulouse Métropole,rendez_vous_tap_automne_hiver_2025_2026.pdf,0.3293386697769165,0.3024832606315613,0.40661677718162537,0.4026791453361511,0.22709265007294185,unfavorable
